DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
3351.6,8.682,0.061,0.277,6.865,2.314,0.001,0.055,0.869
3351.7,8.672,0.059,0.283,6.73,2.373,0.001,0.058,0.892
3351.8,8.625,0.057,0.285,6.58,2.309,0.001,0.061,0.881
3351.9,8.578,0.057,0.28,6.467,2.255,0.001,0.062,0.886
3352,8.601,0.056,0.267,6.4,2.309,0.001,0.064,0.876
3352.1,8.578,0.054,0.259,6.347,2.39,0.001,0.066,0.882
3352.2,8.578,0.053,0.252,6.277,2.42,0.001,0.067,0.875
3352.3,8.557,0.053,0.249,6.181,2.434,0.001,0.067,0.843
3352.4,8.547,0.054,0.247,6.101,2.275,0.001,0.066,0.84
3352.5,8.547,0.058,0.246,6.071,2.221,0.001,0.062,0.86
3352.6,8.5,0.066,0.248,6.104,2.284,0.001,0.058,0.88
3352.7,8.563,0.074,0.244,6.167,2.315,0.001,0.055,0.896
3352.8,8.625,0.076,0.244,6.21,2.322,0.001,0.06,0.912
3352.9,8.609,0.068,0.25,6.233,2.398,0.001,0.072,0.941
3353,8.578,0.053,0.251,6.295,2.538,0.001,0.084,0.971
3353.1,8.578,0.04,0.249,6.417,2.569,0.001,0.089,0.993
3353.2,8.578,0.036,0.245,6.556,2.613,0.001,0.086,0.98
3353.3,8.578,0.041,0.241,6.641,2.672,0.001,0.078,0.944
3353.4,8.578,0.048,0.237,6.657,2.703,0.001,0.071,0.905
3353.5,8.578,0.053,0.235,6.628,2.69,0.001,0.069,0.911
3353.6,8.568,0.058,0.236,6.591,2.694,0.001,0.07,0.937
3353.7,8.547,0.063,0.237,6.558,2.76,0.001,0.07,0.914
3353.8,8.557,0.067,0.239,6.558,2.801,0.001,0.071,0.908
3353.9,8.578,0.065,0.246,6.604,2.768,0.001,0.072,0.946
3354,8.578,0.057,0.253,6.697,2.809,0.001,0.075,0.984
3354.1,8.602,0.049,0.256,6.797,2.778,0.001,0.074,1
3354.2,8.625,0.049,0.258,6.826,2.604,0.001,0.069,1
3354.3,8.578,0.056,0.259,6.737,2.547,0.001,0.062,0.987
3354.4,8.625,0.065,0.254,6.567,2.527,0.001,0.059,0.947
3354.5,8.609,0.069,0.256,6.397,2.505,0.001,0.064,0.928
3354.6,8.578,0.065,0.257,6.314,2.542,0.001,0.073,0.938
3354.7,8.578,0.057,0.26,6.324,2.575,0.001,0.081,0.94
3354.8,8.578,0.048,0.264,6.375,2.556,0.001,0.082,0.968
3354.9,8.578,0.046,0.264,6.405,2.469,0.001,0.077,0.992
3355,8.578,0.05,0.261,6.396,2.379,0.001,0.069,0.981
3355.1,8.578,0.056,0.259,6.372,2.296,0.001,0.064,0.976
3355.2,8.578,0.057,0.259,6.358,2.4,0.001,0.065,0.928
3355.3,8.578,0.054,0.259,6.347,2.461,0.001,0.069,0.872
3355.4,8.578,0.049,0.256,6.336,2.492,0.001,0.072,0.86
3355.5,8.578,0.047,0.252,6.335,2.476,0.001,0.071,0.865
3355.6,8.578,0.047,0.248,6.367,2.431,0.001,0.068,0.875
3355.7,8.578,0.046,0.247,6.451,2.341,0.001,0.066,0.854
3355.8,8.578,0.045,0.245,6.558,2.285,0.001,0.063,0.843
3355.9,8.578,0.047,0.242,6.634,2.259,0.001,0.057,0.857
3356,8.578,0.051,0.24,6.634,2.254,0.001,0.049,0.866
3356.1,8.578,0.057,0.24,6.558,2.32,0.001,0.042,0.873
3356.2,8.578,0.059,0.243,6.468,2.28,0.001,0.04,0.869
3356.3,8.578,0.058,0.245,6.419,2.26,0.001,0.043,0.859
3356.4,8.578,0.057,0.245,6.406,2.238,0.001,0.048,0.832
3356.5,8.578,0.056,0.242,6.402,2.204,0.001,0.052,0.818
3356.6,8.578,0.053,0.238,6.387,2.183,0.001,0.055,0.803
3356.7,8.578,0.049,0.237,6.369,2.137,0.001,0.057,0.786
3356.8,8.578,0.046,0.238,6.365,2.163,0.001,0.057,0.777
3356.9,8.557,0.044,0.243,6.385,2.152,0.001,0.056,0.764
3357,8.531,0.041,0.248,6.42,2.176,0.001,0.054,0.75
3357.1,8.532,0.041,0.248,6.455,2.132,0.001,0.051,0.775
3357.2,8.578,0.045,0.25,6.439,2.056,0.001,0.047,0.789
3357.3,8.547,0.053,0.256,6.333,2.036,0.001,0.045,0.771
3357.4,8.547,0.06,0.258,6.163,2.05,0.001,0.048,0.76
3357.5,8.547,0.061,0.26,6.003,2.068,0.001,0.055,0.744
3357.6,8.547,0.06,0.26,5.997,2.056,0.001,0.06,0.743
3357.7,8.489,0.06,0.26,5.991,2.021,0.001,0.066,0.761
3357.8,8.469,0.06,0.258,6.13,2.03,0.001,0.065,0.776
3357.9,8.5,0.062,0.256,6.285,2.034,0.001,0.062,0.781
3358,8.578,0.062,0.25,6.409,2.05,0.001,0.06,0.763
3358.1,8.578,0.059,0.251,6.479,2.052,0.001,0.061,0.763
3358.2,8.578,0.053,0.254,6.498,2.066,0.001,0.062,0.757
3358.3,8.578,0.048,0.257,6.485,2.074,0.001,0.062,0.76
3358.4,8.578,0.047,0.257,6.457,2.084,0.001,0.061,0.761
3358.5,8.578,0.049,0.254,6.409,2.071,0.001,0.059,0.771
3358.6,8.578,0.05,0.25,6.33,2.068,0.001,0.061,0.767
3358.7,8.578,0.049,0.244,6.204,2.071,0.001,0.065,0.755
3358.8,8.578,0.048,0.24,6.065,2.076,0.001,0.066,0.741
3358.9,8.5,0.05,0.243,5.959,2.072,0.001,0.064,0.742
3359,8.469,0.052,0.241,5.945,2.083,0.001,0.062,0.733
3359.1,8.49,0.052,0.241,6.039,2.087,0.001,0.062,0.732
3359.2,8.49,0.051,0.242,6.201,2.089,0.001,0.064,0.737
3359.3,8.557,0.052,0.239,6.365,2.097,0.001,0.063,0.75
3359.4,8.578,0.054,0.243,6.489,2.113,0.001,0.061,0.745
3359.5,8.578,0.055,0.246,6.548,2.059,0.001,0.059,0.751
3359.6,8.578,0.052,0.249,6.55,2.043,0.001,0.059,0.74
3359.7,8.578,0.05,0.25,6.509,2.021,0.001,0.06,0.725
3359.8,8.578,0.049,0.248,6.439,2.025,0.001,0.06,0.711
3359.9,8.557,0.048,0.248,6.347,2.004,0.001,0.061,0.713
3360,8.547,0.046,0.246,6.268,1.963,0.001,0.061,0.711
3360.1,8.495,0.045,0.249,6.249,1.969,0.001,0.06,0.719
3360.2,8.547,0.044,0.249,6.342,1.928,0.001,0.057,0.727
3360.3,8.602,0.043,0.25,6.541,1.947,0.001,0.053,0.77
3360.4,8.625,0.044,0.258,6.748,1.898,0.001,0.05,0.757
3360.5,8.625,0.048,0.267,6.856,1.84,0.001,0.047,0.745
3360.6,8.625,0.052,0.274,6.81,1.821,0.001,0.045,0.752
3360.7,8.578,0.054,0.282,6.676,1.795,0.001,0.046,0.751
3360.8,8.578,0.051,0.286,6.553,1.817,0.001,0.051,0.767
3360.9,8.578,0.048,0.286,6.51,1.855,0.001,0.055,0.768
3361,8.578,0.047,0.283,6.549,1.874,0.001,0.056,0.746
3361.1,8.578,0.047,0.279,6.633,1.878,0.001,0.056,0.754
3361.2,8.578,0.047,0.276,6.73,1.896,0.001,0.055,0.747
3361.3,8.625,0.046,0.272,6.796,1.865,0.001,0.055,0.75
3361.4,8.609,0.047,0.274,6.789,1.917,0.001,0.056,0.752
3361.5,8.578,0.05,0.273,6.699,1.992,0.001,0.057,0.757
3361.6,8.594,0.052,0.268,6.559,2.036,0.001,0.058,0.767
3361.7,8.587,0.053,0.268,6.418,2.028,0.001,0.061,0.753
3361.8,8.578,0.051,0.266,6.328,1.996,0.001,0.063,0.769
3361.9,8.578,0.049,0.263,6.321,2.016,0.001,0.063,0.77
3362,8.594,0.046,0.258,6.405,1.986,0.001,0.062,0.779
3362.1,8.594,0.046,0.258,6.547,2.001,0.001,0.061,0.787
3362.2,8.578,0.048,0.256,6.65,2.092,0.001,0.058,0.799
3362.3,8.578,0.051,0.257,6.663,2.156,0.001,0.056,0.796
3362.4,8.578,0.052,0.26,6.637,2.144,0.001,0.055,0.822
3362.5,8.578,0.052,0.265,6.619,2.16,0.001,0.056,0.863
3362.6,8.625,0.049,0.267,6.617,2.074,0.001,0.058,0.839
3362.7,8.609,0.045,0.273,6.619,2.015,0.001,0.06,0.823
3362.8,8.578,0.043,0.275,6.591,1.982,0.001,0.061,0.837
3362.9,8.557,0.044,0.276,6.531,2.058,0.001,0.061,0.845
3363,8.578,0.049,0.276,6.462,2.104,0.001,0.06,0.835
3363.1,8.547,0.053,0.278,6.398,2.11,0.001,0.06,0.841
3363.2,8.563,0.055,0.275,6.319,2.15,0.001,0.063,0.836
3363.3,8.578,0.053,0.274,6.2,2.2,0.001,0.067,0.815
3363.4,8.578,0.048,0.271,6.056,2.211,0.001,0.072,0.792
3363.5,8.526,0.045,0.272,5.961,2.164,0.001,0.075,0.775
3363.6,8.469,0.045,0.269,5.983,2.144,0.001,0.077,0.765
3363.7,8.469,0.045,0.267,6.117,2.128,0.001,0.077,0.75
3363.8,8.5,0.047,0.266,6.286,2.115,0.001,0.077,0.76
3363.9,8.524,0.051,0.264,6.419,2.133,0.001,0.075,0.762
3364,8.547,0.057,0.268,6.473,2.091,0.001,0.072,0.754
3364.1,8.578,0.062,0.272,6.475,2.111,0.001,0.069,0.742
3364.2,8.578,0.063,0.28,6.475,2.084,0.001,0.069,0.731
3364.3,8.578,0.058,0.284,6.503,2.111,0.001,0.071,0.743
3364.4,8.578,0.051,0.285,6.543,2.086,0.001,0.074,0.727
3364.5,8.578,0.047,0.282,6.552,2.124,0.001,0.073,0.745
3364.6,8.578,0.049,0.28,6.5,2.089,0.001,0.07,0.743
3364.7,8.547,0.053,0.281,6.412,2.066,0.001,0.066,0.736
3364.8,8.578,0.054,0.276,6.333,2.082,0.001,0.066,0.764
3364.9,8.578,0.051,0.271,6.287,2.083,0.001,0.068,0.759
3365,8.547,0.049,0.267,6.258,2.136,0.001,0.071,0.753
3365.1,8.547,0.048,0.264,6.241,2.142,0.001,0.071,0.754
3365.2,8.557,0.051,0.263,6.235,2.194,0.001,0.069,0.739
3365.3,8.578,0.053,0.262,6.246,2.194,0.001,0.067,0.735
3365.4,8.578,0.053,0.26,6.27,2.205,0.001,0.066,0.732
3365.5,8.578,0.052,0.257,6.294,2.142,0.001,0.065,0.739
3365.6,8.547,0.049,0.257,6.28,2.138,0.001,0.064,0.781
3365.7,8.578,0.046,0.253,6.197,2.149,0.001,0.063,0.809
3365.8,8.547,0.043,0.252,6.052,2.159,0.001,0.062,0.797
3365.9,8.489,0.041,0.253,5.915,2.18,0.001,0.06,0.79
3366,8.469,0.041,0.254,5.842,2.163,0.001,0.057,0.799
3366.1,8.469,0.045,0.256,5.847,2.172,0.001,0.054,0.806
3366.2,8.484,0.052,0.257,5.873,2.146,0.001,0.051,0.813
3366.3,8.5,0.059,0.257,5.87,2.103,0.001,0.052,0.775
3366.4,8.479,0.062,0.257,5.821,2.112,0.001,0.055,0.742
3366.5,8.499,0.061,0.259,5.748,2.17,0.001,0.06,0.726
3366.6,8.401,0.058,0.264,5.686,2.167,0.001,0.064,0.731
3366.7,8.318,0.054,0.267,5.688,2.098,0.001,0.067,0.752
3366.8,8.437,0.05,0.267,5.765,2.136,0.001,0.07,0.753
3366.9,8.406,0.046,0.264,5.885,2.125,0.001,0.075,0.736
3367,8.422,0.043,0.261,5.983,2.102,0.001,0.078,0.732
3367.1,8.484,0.042,0.26,5.998,2.093,0.001,0.079,0.73
3367.2,8.5,0.042,0.259,5.905,2.244,0.001,0.078,0.732
3367.3,8.422,0.044,0.255,5.761,2.361,0.001,0.075,0.712
3367.4,8.453,0.046,0.248,5.701,2.37,0.001,0.073,0.707
3367.5,8.526,0.049,0.236,5.824,2.423,0.001,0.071,0.705
3367.6,8.578,0.053,0.228,6.088,2.44,0.001,0.067,0.71
3367.7,8.578,0.055,0.22,6.37,2.521,0.001,0.061,0.721
