DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
4335,8.703,0.057,0.214,6.779,2.194,0.001,0.091,0.794
4335.1,8.687,0.057,0.216,6.8,2.261,0.001,0.088,0.785
4335.2,8.672,0.052,0.214,6.869,2.249,0.001,0.089,0.783
4335.3,8.672,0.046,0.209,6.956,2.231,0.001,0.09,0.765
4335.4,8.693,0.042,0.202,7.019,2.231,0.001,0.09,0.763
4335.5,8.672,0.041,0.203,7.042,2.135,0.001,0.087,0.749
4335.6,8.672,0.045,0.205,7.037,1.942,0.001,0.081,0.752
4335.7,8.672,0.052,0.208,7.019,1.666,0.001,0.073,0.764
4335.8,8.672,0.059,0.21,6.994,1.885,0.001,0.068,0.774
4335.9,8.672,0.063,0.212,6.968,2.135,0.001,0.068,0.766
4336,8.672,0.065,0.214,6.949,1.912,0.001,0.07,0.728
4336.1,8.672,0.065,0.218,6.945,1.862,0.001,0.073,0.718
4336.2,8.672,0.065,0.222,6.956,1.83,0.001,0.074,0.718
4336.3,8.672,0.066,0.226,6.974,1.805,0.001,0.074,0.731
4336.4,8.672,0.067,0.226,6.965,1.774,0.001,0.074,0.757
4336.5,8.672,0.068,0.225,6.907,1.771,0.001,0.074,0.754
4336.6,8.672,0.067,0.223,6.808,1.793,0.001,0.075,0.757
4336.7,8.672,0.067,0.223,6.701,1.813,0.001,0.077,0.757
4336.8,8.672,0.065,0.224,6.629,1.816,0.001,0.078,0.744
4336.9,8.672,0.064,0.227,6.612,1.799,0.001,0.079,0.738
4337,8.672,0.064,0.229,6.637,1.807,0.001,0.078,0.728
4337.1,8.672,0.064,0.231,6.688,1.827,0.001,0.076,0.719
4337.2,8.672,0.064,0.232,6.75,1.853,0.001,0.072,0.706
4337.3,8.672,0.063,0.23,6.801,1.876,0.001,0.069,0.697
4337.4,8.672,0.06,0.228,6.81,1.891,0.001,0.069,0.693
4337.5,8.672,0.057,0.228,6.776,1.911,0.001,0.07,0.696
4337.6,8.672,0.056,0.229,6.736,1.901,0.001,0.071,0.711
4337.7,8.672,0.059,0.229,6.709,1.882,0.001,0.071,0.723
4337.8,8.672,0.065,0.228,6.684,1.864,0.001,0.069,0.733
4337.9,8.672,0.071,0.226,6.639,1.849,0.001,0.067,0.73
4338,8.672,0.073,0.226,6.588,1.854,0.001,0.068,0.738
4338.1,8.625,0.071,0.229,6.558,1.866,0.001,0.072,0.756
4338.2,8.672,0.068,0.227,6.571,1.874,0.001,0.076,0.758
4338.3,8.672,0.064,0.225,6.606,1.879,0.001,0.078,0.716
4338.4,8.672,0.062,0.222,6.641,1.886,0.001,0.078,0.696
4338.5,8.672,0.061,0.22,6.683,1.887,0.001,0.076,0.68
4338.6,8.672,0.059,0.219,6.741,1.896,0.001,0.073,0.664
4338.7,8.672,0.058,0.217,6.834,1.933,0.001,0.068,0.647
4338.8,8.672,0.059,0.213,6.955,1.999,0.001,0.06,0.633
