iter	Passed	Remaining
0	39	15732
1	75	14978
2	110	14573
3	146	14520
4	179	14170
5	207	13632
6	247	13916
7	283	13867
8	333	14486
9	401	15676
10	447	15809
11	479	15496
12	510	15211
13	542	14960
14	575	14778
15	609	14628
16	637	14371
17	665	14113
18	696	13966
19	727	13814
20	759	13705
21	893	15356
22	953	15623
23	988	15480
24	1018	15280
25	1057	15210
26	1094	15117
27	1129	15002
28	1166	14921
29	1217	15018
30	1518	18075
31	1572	18078
32	1610	17910
33	1642	17676
34	1678	17500
35	1712	17316
36	1746	17134
37	1784	17001
38	1890	17501
39	1972	17750
40	2014	17638
41	2055	17520
42	2125	17649
43	2177	17617
44	2394	18887
45	2471	19017
46	2510	18853
47	2560	18778
48	2857	20468
49	2948	20641
50	3004	20556
51	3050	20415
52	3090	20232
53	3585	22976
54	3629	22764
55	3675	22579
56	3726	22425
57	3773	22249
58	3820	22080
59	3866	21908
60	3912	21741
61	3960	21591
62	3998	21387
63	4043	21226
64	4086	21062
65	4219	21353
66	4273	21239
67	4312	21053
68	4356	20896
69	4401	20748
70	4441	20582
71	4492	20466
72	4629	20738
73	4688	20653
74	4733	20512
75	4780	20380
76	4979	20889
77	5046	20833
78	5177	21038
79	5232	20928
80	5273	20766
81	5313	20604
82	5351	20437
83	5387	20265
84	5423	20099
85	5460	19937
86	5497	19780
87	5629	19957
88	5680	19849
89	5720	19703
90	5759	19558
91	5800	19419
92	5837	19271
93	5881	19146
94	5921	19009
95	6057	19182
96	6102	19063
97	6414	19766
98	6460	19643
99	6498	19495
100	6534	19344
101	6571	19198
102	6602	19038
103	6639	18898
104	6768	19015
105	6821	18919
106	6855	18773
107	6891	18633
108	6934	18512
109	6978	18399
110	7022	18282
111	7062	18161
112	7098	18028
113	7232	18144
114	7280	18041
115	7319	17921
116	7366	17818
117	7409	17706
118	7457	17609
119	7496	17492
120	7549	17407
121	7689	17522
122	7728	17405
123	7811	17386
124	7854	17280
125	7895	17170
126	7952	17093
127	7999	16999
128	8357	17556
129	8399	17444
130	8436	17324
131	8477	17211
132	8514	17093
133	8551	16976
134	8726	17130
135	8778	17039
136	8814	16921
137	8848	16799
138	8883	16680
139	8922	16569
140	8959	16456
141	9083	16504
142	9129	16406
143	9168	16298
144	9202	16184
145	9244	16083
146	9279	15970
147	9312	15857
148	9344	15742
149	9379	15632
150	9420	15534
151	9514	15523
152	9557	15428
153	9612	15354
154	9645	15245
155	9678	15138
156	9711	15031
157	9744	14925
158	9773	14813
159	9804	14706
160	9837	14603
161	10115	14861
162	10157	14769
163	10189	14663
164	10219	14555
165	10248	14446
166	10274	14335
167	10305	14231
168	10335	14126
169	10365	14023
170	10412	13944
171	10498	13916
172	10541	13831
173	10574	13735
174	10630	13667
175	10683	13597
176	10713	13497
