,param_n_estimators,param_learning_rate,param_loss,param_criterion,param_max_depth,mean_test_r2,mean_test_neg_mean_squared_error
0,7,0.3,squared_error,squared_error,6,0.9179291291789842,-0.002488850649747079
1,10,0.3,squared_error,squared_error,6,0.9278702787142434,-0.0021616678479932172
2,14,0.3,squared_error,squared_error,6,0.9314802475161107,-0.002008020974391047
3,16,0.3,squared_error,squared_error,6,0.9325000267703842,-0.0019711099340315916
4,7,0.3,squared_error,squared_error,8,0.9128535021618811,-0.002694653829646934
5,10,0.3,squared_error,squared_error,8,0.9242968354891603,-0.0022952236612105103
6,14,0.3,squared_error,squared_error,8,0.9264407658457111,-0.0021849697535928137
7,16,0.3,squared_error,squared_error,8,0.9255091076855724,-0.0022118335716197917
8,7,0.3,squared_error,squared_error,10,0.9112874105815998,-0.0027947657510160643
9,10,0.3,squared_error,squared_error,10,0.9230876724862975,-0.00237671075504063
10,14,0.3,squared_error,squared_error,10,0.9258700219881121,-0.0022479343746306477
11,16,0.3,squared_error,squared_error,10,0.9243782142694764,-0.0022714390035920213
12,7,0.3,squared_error,squared_error,12,0.911062720433593,-0.0026874500045063338
13,10,0.3,squared_error,squared_error,12,0.9199300217731408,-0.002339890799820095
14,14,0.3,squared_error,squared_error,12,0.9217772419111304,-0.002240816817978398
15,16,0.3,squared_error,squared_error,12,0.9235149521026031,-0.002188430674657726
16,7,0.3,absolute_error,squared_error,6,0.8632089875131929,-0.004999425884117766
17,10,0.3,absolute_error,squared_error,6,0.8979078437503553,-0.0034603323026590888
18,14,0.3,absolute_error,squared_error,6,0.9173326776402287,-0.0026480410241653375
19,16,0.3,absolute_error,squared_error,6,0.928427804474018,-0.002223750458383384
20,7,0.3,absolute_error,squared_error,8,0.8638654838455035,-0.004902891455804575
21,10,0.3,absolute_error,squared_error,8,0.8998542464517258,-0.0034254488523186035
22,14,0.3,absolute_error,squared_error,8,0.9223737847175849,-0.002448708613785408
23,16,0.3,absolute_error,squared_error,8,0.9276715831737382,-0.002245342884204817
24,7,0.3,absolute_error,squared_error,10,0.8664969726741962,-0.004832137056096654
25,10,0.3,absolute_error,squared_error,10,0.903129900585266,-0.003285181694648054
26,14,0.3,absolute_error,squared_error,10,0.9141197936346472,-0.0026134135856169987
27,16,0.3,absolute_error,squared_error,10,0.9290012461106484,-0.0022404041795017287
28,7,0.3,absolute_error,squared_error,12,0.8644411226805484,-0.004925815368112553
29,10,0.3,absolute_error,squared_error,12,0.9019625162248088,-0.003362804612611068
30,14,0.3,absolute_error,squared_error,12,0.9246511902782055,-0.0024403068273414086
31,16,0.3,absolute_error,squared_error,12,0.9318212285840634,-0.002112832013254768
32,7,0.5,squared_error,squared_error,6,0.9270268263738057,-0.002048587612785084
33,10,0.5,squared_error,squared_error,6,0.9261087015333505,-0.0020772716592786923
34,14,0.5,squared_error,squared_error,6,0.9271399275409312,-0.00204701459104314
35,16,0.5,squared_error,squared_error,6,0.9264267330256315,-0.002062918278189902
36,7,0.5,squared_error,squared_error,8,0.9295354920021831,-0.0020915733073246577
37,10,0.5,squared_error,squared_error,8,0.9260480250152062,-0.0021220808337641143
38,14,0.5,squared_error,squared_error,8,0.9253034073530404,-0.002133938558031298
39,16,0.5,squared_error,squared_error,8,0.9291260636396517,-0.0020306390281810897
