,param_max_depth,param_early_stopping_rounds,param_n_estimators,param_learning_rate,param_tree_method,mean_test_r2,mean_test_neg_mean_squared_error
0,6,3,200,0.001,exact,0.0010735929269808041,-0.02306153059188516
1,6,3,200,0.001,approx,0.0012127658630474935,-0.02304455077790405
2,6,3,300,0.001,exact,0.16311156522141532,-0.019598034663826914
3,6,3,300,0.001,approx,0.16338972603513283,-0.019575344788693494
4,6,3,400,0.001,exact,0.29635833451304877,-0.01672476353510904
5,6,3,400,0.001,approx,0.29674426435633244,-0.016703026641860803
6,6,3,500,0.001,exact,0.4055752373066065,-0.014339475852103708
7,6,3,500,0.001,approx,0.4062545173341956,-0.01431306652057553
8,8,3,200,0.001,exact,0.004968418433933352,-0.022972120735766103
9,8,3,200,0.001,approx,0.0050837925703951185,-0.022965883679837647
10,8,3,300,0.001,exact,0.16867308691745583,-0.01947260901295184
11,8,3,300,0.001,approx,0.16875976652021873,-0.019463501028742017
12,8,3,400,0.001,exact,0.30238765097220544,-0.01658344341545978
13,8,3,400,0.001,approx,0.3030393706595397,-0.016565232574329097
14,8,3,500,0.001,exact,0.4116665432309602,-0.014193544401802049
15,8,3,500,0.001,approx,0.4127913955198318,-0.014169006811484825
16,10,3,200,0.001,exact,0.005473052523505528,-0.022962478687655972
17,10,3,200,0.001,approx,0.005498940275425646,-0.022958322027438707
18,10,3,300,0.001,exact,0.1692062114749016,-0.019462556145038206
19,10,3,300,0.001,approx,0.16916368734995374,-0.01945578438456991
20,10,3,400,0.001,exact,0.30318414303049346,-0.016569336316361233
21,10,3,400,0.001,approx,0.3033034181824364,-0.016559252056124754
22,10,3,500,0.001,exact,0.4126620636749367,-0.014177328532201943
23,10,3,500,0.001,approx,0.41296182784217195,-0.014164521606566598
24,12,3,200,0.001,exact,0.0054348989763590375,-0.02296301007235329
25,12,3,200,0.001,approx,0.00550076494508841,-0.02295826551082402
26,12,3,300,0.001,exact,0.16913068343342902,-0.019463544141956887
27,12,3,300,0.001,approx,0.16916285043395862,-0.0194557294270609
28,12,3,400,0.001,exact,0.3032350366791835,-0.016568885857308823
29,12,3,400,0.001,approx,0.30329078039298163,-0.016559447677122873
30,12,3,500,0.001,exact,0.4127315766046989,-0.014176756666273268
31,12,3,500,0.001,approx,0.41295619876928064,-0.014164745232630093
32,6,3,200,0.05,exact,0.9132715042993613,-0.0020061226596687753
33,6,3,200,0.05,approx,0.9137584614939686,-0.0019504534274379583
34,6,3,300,0.05,exact,0.9138467722146905,-0.0019998542228031884
35,6,3,300,0.05,approx,0.9138322026505353,-0.001948946311205918
36,6,3,400,0.05,exact,0.9138943543452672,-0.0019992029686103736
37,6,3,400,0.05,approx,0.9138489136103123,-0.0019484790400422745
38,6,3,500,0.05,exact,0.9139335644958123,-0.001998679488779467
39,6,3,500,0.05,approx,0.9139227333740255,-0.0019472137230380775
40,8,3,200,0.05,exact,0.9104288234574522,-0.0020614513697774462
41,8,3,200,0.05,approx,0.912885842305883,-0.001957715583012092
42,8,3,300,0.05,exact,0.910391287852522,-0.0020618454174206957
43,8,3,300,0.05,approx,0.9128689147046473,-0.0019581248055137264
44,8,3,400,0.05,exact,0.9104198813514947,-0.0020613296542305957
45,8,3,400,0.05,approx,0.9128742321495714,-0.001957989959048541
46,8,3,500,0.05,exact,0.9104331026089201,-0.002061144141114104
47,8,3,500,0.05,approx,0.9128758088601673,-0.0019579681878338674
48,10,3,200,0.05,exact,0.9055158802257909,-0.0022559578009605616
49,10,3,200,0.05,approx,0.9107033502361459,-0.0020787454377269917
50,10,3,300,0.05,exact,0.9055872753071906,-0.0022552006994645867
51,10,3,300,0.05,approx,0.9107034899554952,-0.002078724696783457
52,10,3,400,0.05,exact,0.9055872753071906,-0.0022552006994645867
53,10,3,400,0.05,approx,0.9107034899554952,-0.002078724696783457
54,10,3,500,0.05,exact,0.9055872753071906,-0.0022552006994645867
55,10,3,500,0.05,approx,0.9107034899554952,-0.002078724696783457
56,12,3,200,0.05,exact,0.9058915013898551,-0.0023764869095692196
57,12,3,200,0.05,approx,0.9089734564918487,-0.002203060403137275
58,12,3,300,0.05,exact,0.9058968064551959,-0.002376405365393135
59,12,3,300,0.05,approx,0.9089758946663217,-0.002203033893930156
60,12,3,400,0.05,exact,0.9058968064551959,-0.002376405365393135
61,12,3,400,0.05,approx,0.9089758946663217,-0.002203033893930156
62,12,3,500,0.05,exact,0.9058968064551959,-0.002376405365393135
63,12,3,500,0.05,approx,0.9089758946663217,-0.002203033893930156
64,6,3,200,0.01,exact,0.8838773161179084,-0.00306154119352916
65,6,3,200,0.01,approx,0.885727914157853,-0.003008864824797561
66,6,3,300,0.01,exact,0.9068815303617038,-0.002265983883106261
67,6,3,300,0.01,approx,0.9082463154494468,-0.002245002462120117
68,6,3,400,0.01,exact,0.9106033233183755,-0.002086415479040183
69,6,3,400,0.01,approx,0.9115632207472928,-0.0020512780801386432
70,6,3,500,0.01,exact,0.9115926150582675,-0.002019395131575941
71,6,3,500,0.01,approx,0.9121271006650495,-0.002005230145599542
72,8,3,200,0.01,exact,0.8857938696033012,-0.0030551991873979446
73,8,3,200,0.01,approx,0.8884142056282206,-0.002979522023242672
